[      1281] [    DumpServer]                17272/ DumpServer is active and waiting.
[      1281] [          RedM]             MainThrd/ --- BEGIN LOGGING AT Sun Mar  8 02:04:53 2026 ---
[      1719] [          RedM]             MainThrd/ hello from data\RedM\RedM.exe  -b1491 +connect redm.wildrp.com:30123
[      1750] [          RedM]             MainThrd/ GameInstallInfo: 0 13 2
[      1765] [          RedM]             MainThrd/ InitROS: Steam
[      2937] [          RedM]             MainThrd/ Launcher Status: Searching for the Rockstar Games Launcher
[      2953] [          RedM]             MainThrd/ Looking for proc: "C:\\Program Files\\Rockstar Games\\Launcher\\Launcher.exe"
[      2953] [          RedM]             MainThrd/ Launcher Status: Initializing the Rockstar Games Launcher
[      2953] [          RedM]             MainThrd/ Launcher Status: Waiting on the Rockstar Games Launcher
[      2953] [          RedM]             MainThrd/ Found launcher!
[      2953] [          RedM]             MainThrd/ Launcher Status: Waiting on the Rockstar Games Launcher
[      2953] [          RedM]             MainThrd/ Checking if it has socialclub.dll! Active? 1
[     14390] [          RedM]             MainThrd/ MTL says it's signed in: gliztalley99@gmail.com
[     14406] [          RedM]             MainThrd/ Got ros:legit process - pid 31964
[     14547] [   ROSLauncher]             MainThrd/ hello from "C:\Users\glizt\AppData\Local\Programs\WildRP Launcher\data\RedM\RedM.app\data\cache\subprocess\RedM_ROSLauncher" ros:legit --parent_pid=3788 "C:\Program Files\Rockstar Games\Launcher\Launcher.exe" -noRecogniser
[     14578] [   ROSLauncher]             MainThrd/ GameInstallInfo: 0 13 2
[     14578] [   ROSLauncher]             MainThrd/ InitROS: Steam
[     14625] [   ROSLauncher]             MainThrd/ legit! "C:\Users\glizt\AppData\Local\Programs\WildRP Launcher\data\RedM\RedM.app\data\cache\subprocess\RedM_ROSLauncher" ros:legit --parent_pid=3788 "C:\Program Files\Rockstar Games\Launcher\Launcher.exe" -noRecogniser
[     14625] [   ROSLauncher]             MainThrd/ Account id 202829773
[     15265] [          RedM]             MainThrd/ Got ros:launcher process - pid 27460
