[      1156] [    DumpServer]                26436/ DumpServer is active and waiting.
[      1156] [          RedM]             MainThrd/ --- BEGIN LOGGING AT Fri Mar 27 22:46:07 2026 ---
[      1468] [          RedM]             MainThrd/ hello from data\RedM\RedM.exe  -b1491 +connect redm.wildrp.com:30123
[      1593] [          RedM]             MainThrd/ GameInstallInfo: 0 13 2
[      1593] [          RedM]             MainThrd/ InitROS: Steam
[      2781] [          RedM]             MainThrd/ Launcher Status: Searching for the Rockstar Games Launcher
[      2797] [          RedM]             MainThrd/ Looking for proc: "C:\\Program Files\\Rockstar Games\\Launcher\\Launcher.exe"
[      2797] [          RedM]             MainThrd/ Launcher Status: Initializing the Rockstar Games Launcher
[      2797] [          RedM]             MainThrd/ Launcher Status: Waiting on the Rockstar Games Launcher
[      2797] [          RedM]             MainThrd/ Found launcher!
[      2797] [          RedM]             MainThrd/ Launcher Status: Waiting on the Rockstar Games Launcher
[      2797] [          RedM]             MainThrd/ Checking if it has socialclub.dll! Active? 1
[     13265] [          RedM]             MainThrd/ MTL says it's signed in: gliztalley99@gmail.com
[     13265] [          RedM]             MainThrd/ Got ros:legit process - pid 36736
[     13422] [   ROSLauncher]             MainThrd/ hello from "C:\Users\glizt\AppData\Local\Programs\WildRP Launcher\data\RedM\RedM.app\data\cache\subprocess\RedM_ROSLauncher" ros:legit --parent_pid=35332 "C:\Program Files\Rockstar Games\Launcher\Launcher.exe" -noRecogniser
[     13468] [   ROSLauncher]             MainThrd/ GameInstallInfo: 0 13 2
[     13468] [   ROSLauncher]             MainThrd/ InitROS: Steam
[     13531] [   ROSLauncher]             MainThrd/ legit! "C:\Users\glizt\AppData\Local\Programs\WildRP Launcher\data\RedM\RedM.app\data\cache\subprocess\RedM_ROSLauncher" ros:legit --parent_pid=35332 "C:\Program Files\Rockstar Games\Launcher\Launcher.exe" -noRecogniser
[     13531] [   ROSLauncher]             MainThrd/ Account id 202829773
[     14109] [          RedM]             MainThrd/ Got ros:launcher process - pid 35000
